1. DEPTH      = 2, WEIGHT_DECAY = 0.1, 
Epoch 038/100 | train 1.3053 | val 1.5642 | test 1.6382
Epoch 039/100 | train 1.2869 | val 1.5613 | test 1.6142
Epoch 040/100 | train 1.3002 | val 1.5387 | test 1.6119
Epoch 041/100 | train 1.2862 | val 1.5392 | test 1.6124
Epoch 042/100 | train 1.2905 | val 1.5779 | test 1.6208
Epoch 043/100 | train 1.2810 | val 1.5533 | test 1.6146
Epoch 044/100 | train 1.2776 | val 1.5604 | test 1.6313
Epoch 045/100 | train 1.2682 | val 1.6161 | test 1.6574
Epoch 046/100 | train 1.2425 | val 1.5238 | test 1.5906
Epoch 047/100 | train 1.2222 | val 1.5793 | test 1.6493
Epoch 048/100 | train 1.2575 | val 1.5245 | test 1.6089
Epoch 049/100 | train 1.2270 | val 1.5261 | test 1.6087
Epoch 050/100 | train 1.2196 | val 1.5475 | test 1.6234
Epoch 051/100 | train 1.2101 | val 1.5560 | test 1.6498
Epoch 052/100 | train 1.2038 | val 1.5299 | test 1.6358
Epoch 053/100 | train 1.2169 | val 1.5100 | test 1.6486
Epoch 054/100 | train 1.1936 | val 1.5360 | test 1.6468
Epoch 055/100 | train 1.1904 | val 1.5124 | test 1.6281
Epoch 056/100 | train 1.1667 | val 1.5141 | test 1.6160
Epoch 057/100 | train 1.1829 | val 1.5205 | test 1.6433
Epoch 058/100 | train 1.1665 | val 1.5327 | test 1.6438
Epoch 059/100 | train 1.1449 | val 1.5337 | test 1.6574
Epoch 060/100 | train 1.1476 | val 1.5193 | test 1.6530
Epoch 061/100 | train 1.1511 | val 1.5353 | test 1.6476
Epoch 062/100 | train 1.1306 | val 1.5369 | test 1.6781
Epoch 063/100 | train 1.1471 | val 1.5201 | test 1.6701
Epoch 064/100 | train 1.1324 | val 1.5263 | test 1.6532
Epoch 065/100 | train 1.1210 | val 1.5117 | test 1.6512
Epoch 066/100 | train 1.1112 | val 1.5231 | test 1.6686
Epoch 067/100 | train 1.1240 | val 1.5244 | test 1.6563
Epoch 068/100 | train 1.1070 | val 1.5312 | test 1.6735
Epoch 069/100 | train 1.0945 | val 1.5318 | test 1.6655
Epoch 070/100 | train 1.1015 | val 1.5031 | test 1.6379
Epoch 071/100 | train 1.0871 | val 1.5109 | test 1.6592
Epoch 072/100 | train 1.0798 | val 1.5140 | test 1.6690
Epoch 073/100 | train 1.0730 | val 1.5214 | test 1.6661
Epoch 074/100 | train 1.0902 | val 1.5300 | test 1.6885
Epoch 075/100 | train 1.0831 | val 1.5190 | test 1.6822
Epoch 076/100 | train 1.0664 | val 1.5191 | test 1.6544
Epoch 077/100 | train 1.0723 | val 1.5337 | test 1.6672
Epoch 078/100 | train 1.0633 | val 1.5167 | test 1.6708
Epoch 079/100 | train 1.0550 | val 1.5233 | test 1.6588
Epoch 080/100 | train 1.0431 | val 1.5120 | test 1.6606
Epoch 081/100 | train 1.0397 | val 1.5199 | test 1.6702
Epoch 082/100 | train 1.0584 | val 1.5208 | test 1.6698
Epoch 083/100 | train 1.0484 | val 1.5211 | test 1.6608
Epoch 084/100 | train 1.0356 | val 1.5233 | test 1.6660
Epoch 085/100 | train 1.0326 | val 1.5266 | test 1.6746
Epoch 086/100 | train 1.0256 | val 1.5218 | test 1.6706
Epoch 087/100 | train 1.0415 | val 1.5278 | test 1.6793
Epoch 088/100 | train 1.0297 | val 1.5168 | test 1.6744
Epoch 089/100 | train 1.0271 | val 1.5249 | test 1.6774
Epoch 090/100 | train 1.0193 | val 1.5183 | test 1.6790
Epoch 091/100 | train 1.0417 | val 1.5174 | test 1.6729
Epoch 092/100 | train 1.0304 | val 1.5173 | test 1.6731
Epoch 093/100 | train 1.0139 | val 1.5195 | test 1.6743
Epoch 094/100 | train 1.0320 | val 1.5181 | test 1.6699
Epoch 095/100 | train 1.0266 | val 1.5167 | test 1.6712
Epoch 096/100 | train 1.0224 | val 1.5186 | test 1.6758
Epoch 097/100 | train 1.0203 | val 1.5186 | test 1.6732
Epoch 098/100 | train 1.0210 | val 1.5176 | test 1.6742
Epoch 099/100 | train 1.0166 | val 1.5181 | test 1.6739
Epoch 100/100 | train 1.0122 | val 1.5190 | test 1.6744

NOISY  | precision 0.3956 | recall 0.4083
CLEAN  | precision 0.3956 | recall 0.4083
Baseline (>=0.3 on noisy): PASS
Figure saved to: results/per_class_metrics.png



3. DEPTH      = 2, WEIGHT_DECAY = 0.1, DROPOUT_LINEAR2 = 0.3, DROPOUT_ATTENTION = 0.3
Epoch 001/100 | train 2.0988 | val 2.0551 | test 2.0492
Epoch 002/100 | train 2.0485 | val 2.0116 | test 2.0000
Epoch 003/100 | train 2.0067 | val 1.9570 | test 1.9597
Epoch 004/100 | train 1.9406 | val 1.9201 | test 1.8868
Epoch 005/100 | train 1.8632 | val 1.9087 | test 1.8352
Epoch 006/100 | train 1.8487 | val 1.8745 | test 1.8240
Epoch 007/100 | train 1.8046 | val 1.8256 | test 1.8036
Epoch 008/100 | train 1.7677 | val 1.8420 | test 1.7757
Epoch 009/100 | train 1.7338 | val 1.7856 | test 1.7670
Epoch 010/100 | train 1.7218 | val 1.8201 | test 1.7722
Epoch 011/100 | train 1.6771 | val 1.7644 | test 1.7457
Epoch 012/100 | train 1.6567 | val 1.7030 | test 1.7189
Epoch 013/100 | train 1.6406 | val 1.7153 | test 1.7123
Epoch 014/100 | train 1.6040 | val 1.7163 | test 1.7118
Epoch 015/100 | train 1.5727 | val 1.7058 | test 1.6551
Epoch 016/100 | train 1.5562 | val 1.7276 | test 1.7217
Epoch 017/100 | train 1.5561 | val 1.6824 | test 1.6663
Epoch 018/100 | train 1.5349 | val 1.6792 | test 1.6630
Epoch 019/100 | train 1.5035 | val 1.6415 | test 1.6376
Epoch 020/100 | train 1.4899 | val 1.6930 | test 1.6606
Epoch 021/100 | train 1.4657 | val 1.6225 | test 1.6195
Epoch 022/100 | train 1.4474 | val 1.6601 | test 1.6137
Epoch 023/100 | train 1.4385 | val 1.6604 | test 1.6006
Epoch 024/100 | train 1.4338 | val 1.6252 | test 1.5860
Epoch 025/100 | train 1.3899 | val 1.6187 | test 1.5944
Epoch 026/100 | train 1.4023 | val 1.6356 | test 1.6198
Epoch 027/100 | train 1.3871 | val 1.6207 | test 1.5642
Epoch 028/100 | train 1.3887 | val 1.6193 | test 1.5609
Epoch 029/100 | train 1.3882 | val 1.6093 | test 1.6112
Epoch 030/100 | train 1.3701 | val 1.6448 | test 1.6607
Epoch 031/100 | train 1.3947 | val 1.6049 | test 1.6194
Epoch 032/100 | train 1.3525 | val 1.6300 | test 1.5463
Epoch 033/100 | train 1.3337 | val 1.6063 | test 1.5540
Epoch 034/100 | train 1.3502 | val 1.6149 | test 1.5743
Epoch 035/100 | train 1.3184 | val 1.5655 | test 1.6101
Epoch 036/100 | train 1.3079 | val 1.6346 | test 1.5499
Epoch 037/100 | train 1.3080 | val 1.5650 | test 1.5639
Epoch 038/100 | train 1.2851 | val 1.5688 | test 1.5213
Epoch 039/100 | train 1.2880 | val 1.5913 | test 1.5474
Epoch 040/100 | train 1.2693 | val 1.5735 | test 1.5135
Epoch 041/100 | train 1.2600 | val 1.5708 | test 1.5505
Epoch 042/100 | train 1.2727 | val 1.5499 | test 1.5365
Epoch 043/100 | train 1.2475 | val 1.5283 | test 1.5226
Epoch 044/100 | train 1.2587 | val 1.5555 | test 1.5149
Epoch 045/100 | train 1.2369 | val 1.5298 | test 1.5419
Epoch 046/100 | train 1.2366 | val 1.5578 | test 1.5487
Epoch 047/100 | train 1.2361 | val 1.5507 | test 1.5357
Epoch 048/100 | train 1.2031 | val 1.5515 | test 1.5354
Epoch 049/100 | train 1.2079 | val 1.5707 | test 1.5312
Epoch 050/100 | train 1.2162 | val 1.5685 | test 1.5265
Epoch 051/100 | train 1.1918 | val 1.5495 | test 1.5460
Epoch 052/100 | train 1.1857 | val 1.5431 | test 1.5072
Epoch 053/100 | train 1.2011 | val 1.5384 | test 1.5229
Epoch 054/100 | train 1.1935 | val 1.5394 | test 1.5342
Epoch 055/100 | train 1.1839 | val 1.5218 | test 1.5642
Epoch 056/100 | train 1.1744 | val 1.5283 | test 1.4823         <---
Epoch 057/100 | train 1.1636 | val 1.5248 | test 1.5186
Epoch 058/100 | train 1.1630 | val 1.5618 | test 1.5169
Epoch 059/100 | train 1.1643 | val 1.5323 | test 1.5158
Epoch 060/100 | train 1.1498 | val 1.5349 | test 1.5185
Epoch 061/100 | train 1.1506 | val 1.5318 | test 1.5412
Epoch 062/100 | train 1.1472 | val 1.5314 | test 1.5149
Epoch 063/100 | train 1.1428 | val 1.5449 | test 1.5028
Epoch 064/100 | train 1.1277 | val 1.5467 | test 1.5567
Epoch 065/100 | train 1.1449 | val 1.5353 | test 1.5037
Epoch 066/100 | train 1.1124 | val 1.5541 | test 1.5264
Epoch 067/100 | train 1.1103 | val 1.5314 | test 1.4953
Epoch 068/100 | train 1.1049 | val 1.5447 | test 1.5316
Epoch 069/100 | train 1.0890 | val 1.5246 | test 1.5002
Epoch 070/100 | train 1.0942 | val 1.5369 | test 1.5041
Epoch 071/100 | train 1.0970 | val 1.5355 | test 1.4976
Epoch 072/100 | train 1.0838 | val 1.5431 | test 1.5258
Epoch 073/100 | train 1.0898 | val 1.5174 | test 1.4987
Epoch 074/100 | train 1.0853 | val 1.5201 | test 1.5010
Epoch 075/100 | train 1.0803 | val 1.5376 | test 1.5163
Epoch 076/100 | train 1.0799 | val 1.5179 | test 1.5080
Epoch 077/100 | train 1.0738 | val 1.5452 | test 1.5454
Epoch 078/100 | train 1.0692 | val 1.5473 | test 1.5110
Epoch 079/100 | train 1.0529 | val 1.5351 | test 1.4968
Epoch 080/100 | train 1.0568 | val 1.5163 | test 1.5105
Epoch 081/100 | train 1.0587 | val 1.5307 | test 1.5173
Epoch 082/100 | train 1.0540 | val 1.5142 | test 1.5001
Epoch 083/100 | train 1.0549 | val 1.5173 | test 1.5133
Epoch 084/100 | train 1.0507 | val 1.5246 | test 1.5108
Epoch 085/100 | train 1.0573 | val 1.5214 | test 1.5035
Epoch 086/100 | train 1.0367 | val 1.5227 | test 1.5115
Epoch 087/100 | train 1.0366 | val 1.5204 | test 1.5072
Epoch 088/100 | train 1.0444 | val 1.5231 | test 1.5085
Epoch 089/100 | train 1.0303 | val 1.5187 | test 1.5137
Epoch 090/100 | train 1.0391 | val 1.5159 | test 1.5062
Epoch 091/100 | train 1.0363 | val 1.5232 | test 1.5156
Epoch 092/100 | train 1.0294 | val 1.5234 | test 1.5098
Epoch 093/100 | train 1.0390 | val 1.5219 | test 1.5106
Epoch 094/100 | train 1.0454 | val 1.5218 | test 1.5107
Epoch 095/100 | train 1.0214 | val 1.5257 | test 1.5151
Epoch 096/100 | train 1.0409 | val 1.5249 | test 1.5113
Epoch 097/100 | train 1.0458 | val 1.5231 | test 1.5133
Epoch 098/100 | train 1.0298 | val 1.5226 | test 1.5131
Epoch 099/100 | train 1.0400 | val 1.5228 | test 1.5117
Epoch 100/100 | train 1.0382 | val 1.5231 | test 1.5111

NOISY  | precision 0.4605 | recall 0.4583
CLEAN  | precision 0.4605 | recall 0.4583
Baseline (>=0.3 on noisy): PASS
Figure saved to: results/per_class_metrics.png

4. DEPTH = 2, WEIGHT_DECAY = 0.3, DROPOUT_LINEAR2 = 0.2, DROPOUT_ATTENTION = 0.2
Epoch 001/100 | train 2.1010 | val 2.0550 | test 2.0557
Epoch 002/100 | train 2.0388 | val 2.0226 | test 2.0149
Epoch 003/100 | train 1.9808 | val 1.9745 | test 1.9559
Epoch 004/100 | train 1.9504 | val 1.9159 | test 1.8763
Epoch 005/100 | train 1.8799 | val 1.8847 | test 1.8461
Epoch 006/100 | train 1.8548 | val 1.8675 | test 1.8060
Epoch 007/100 | train 1.8053 | val 1.8219 | test 1.8075
Epoch 008/100 | train 1.7704 | val 1.8476 | test 1.8317
Epoch 009/100 | train 1.7422 | val 1.7783 | test 1.7634
Epoch 010/100 | train 1.7299 | val 1.7351 | test 1.7573
Epoch 011/100 | train 1.7028 | val 1.7212 | test 1.7400
Epoch 012/100 | train 1.6752 | val 1.7453 | test 1.7310
Epoch 013/100 | train 1.6414 | val 1.7144 | test 1.7082
Epoch 014/100 | train 1.6259 | val 1.7253 | test 1.6906
Epoch 015/100 | train 1.5986 | val 1.7295 | test 1.7121
Epoch 016/100 | train 1.5870 | val 1.6778 | test 1.6787
Epoch 017/100 | train 1.5840 | val 1.7378 | test 1.7149
Epoch 018/100 | train 1.5723 | val 1.6659 | test 1.6681
Epoch 019/100 | train 1.5261 | val 1.6745 | test 1.6399
Epoch 020/100 | train 1.5114 | val 1.6710 | test 1.6538
Epoch 021/100 | train 1.4952 | val 1.6549 | test 1.6510
Epoch 022/100 | train 1.4831 | val 1.6345 | test 1.6435
Epoch 023/100 | train 1.4763 | val 1.6195 | test 1.6549
Epoch 024/100 | train 1.4530 | val 1.5970 | test 1.5997
Epoch 025/100 | train 1.4417 | val 1.5755 | test 1.5792
